"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"63",147.933256,162.974812,177.091065,193.967855,203.90206,209.98292,222.01503,232.46613,248.52316,257.544559,265.097298,293.72766,308.33718,322.78831,336.65613,344.708285,430.410055,464.271882,470.37247,503.787769,508.502335,517.839227,532.435455,567.633528,655.107496,655.656527,659.0491075,664.0299075,716.2758275,734.3902525,786.2038025
"64",139.11321,147.18494,166.31601,189.199994,206.67762,208.110575,221.620525,231.347697,246.890115,258.41774,264.772261,310.891271,327.278001,333.710286,346.34781,356.719646,403.574641,456.534109,461.337076,491.4117455,497.1255615,518.1921215,530.9349715,563.9285315,655.0845935,656.4468745,662.5420065,667.1054795,715.8771965,732.6945315,777.5585515
"65",136.5828335,140.9622305,158.5674205,185.5315725,195.0973025,196.0557965,209.2901105,228.2661305,240.0768155,254.6245195,260.716486,294.767506,315.970836,333.690646,345.299705,357.781406,408.943801,464.347037,466.769752,492.154691,502.424643,523.899221,533.771001,567.668661,656.698804,658.042427,663.23901,665.093126,701.046786,712.023351,746.850361
"66",107.68946,115.989652,131.93356,160.99617,175.51589,184.46776,200.92131,212.34615,216.907683,230.919145,240.795299,297.849201,321.136451,334.280706,344.54709,346.786159,393.64487,461.144666,463.152697,496.164486,501.680979,519.098365,521.1332988,540.425343,652.573046,654.405547,660.100367,664.723245,707.301042,724.676214,753.000061
"67",109.31823,116.868308,129.438195,165.187365,180.50418,186.996173,198.048145,224.782345,233.308811,249.593805,262.466256,294.716665,315.555585,329.79299,339.262942,351.345742,383.903492,461.695367,462.2576433,524.258554,528.218346,540.325984,546.565094,569.724104,654.247874,657.358814,664.474839,668.977162,716.212079,723.637267,742.560007
"68",106.485804,114.974665,130.815145,157.574999,182.015355,186.391547,193.522645,206.735665,216.18103,225.6183035,249.3310035,292.3293935,317.5794185,328.4508085,343.4424935,357.3559815,386.2420913,440.644779,442.564317,501.869218,508.034069,515.030043,538.572133,562.757703,637.4591725,639.9565865,653.2594145,656.7227195,698.1440095,710.7500425,736.5737155
"69",107.2661055,122.2103515,127.8395985,178.2334005,195.8420725,198.5012605,212.5851205,227.0348405,231.5616955,235.574447,261.487426,313.800359,339.971584,350.214874,364.906632,367.6299,396.997117,449.978315,451.361086,510.341014,515.191377,526.760999,545.279704,576.922549,646.854085,649.184808,660.597344,664.456258,716.917959,731.272738,761.814986
"70",112.380142,133.468925,143.751695,181.567505,198.838433,200.813132,210.96572,226.53984,246.42337,255.155486,262.679807,316.08591,331.718265,343.03896,350.519367,354.633155,391.561643,441.199464,442.5028,507.588507,513.72907,522.810767,545.709727,571.864597,647.599002,651.557152,665.010002,670.369221,703.699332,717.806488,744.911005
"71",125.408027,138.31065,144.46618,172.87062,198.256655,212.209925,227.357642,230.516636,253.990365,260.716924,266.524276,305.678251,323.624881,335.273626,358.5537,362.570392,399.898915,450.743242,453.96535,516.661316,521.62512,528.971772,536.322751,574.272815,644.7926335,652.7479135,667.6961205,670.2935585,710.7441835,719.5341685,761.4637425
"72",73.36667,92.204295,107.620435,154.075095,175.48203,189.37343,200.63494,207.13076,228.94595,235.485551,247.181248,283.370545,308.229605,316.89345,337.184605,346.038509,379.866219,441.304618,444.390025,502.756746,507.002197,520.905775,537.76256,570.787,645.944685,650.295095,661.794135,668.036145,712.78403,721.42734,750.41793
"73",81.1132525,94.7436475,117.1608875,158.1605725,187.0997175,201.5948275,219.3794975,230.8927975,242.9236975,258.0239195,269.0776335,288.8122975,319.8859725,328.9072625,344.5850225,352.6557191,389.250742,438.557387,449.02873,509.146879,515.298435,523.341839,543.034719,567.358924,649.077349,651.447998,658.079921,664.043539,736.945079,750.353725,769.575755
"74",99.10592,110.619625,122.458116,152.504858,173.691415,183.287785,196.979335,209.407115,222.252325,239.066239,255.360124,277.334319,294.324673,303.810568,313.494863,324.150073,384.008901,441.776199,452.305333,512.327263,518.326474,522.207347,532.083968,566.056293,643.025569,646.608779,655.290829,662.240019,726.657684,734.2668858,760.6106025
"75",110.0742875,128.9106575,144.6242975,174.4569225,195.475046,202.289632,216.923196,225.5584152,235.002106,245.98528,258.443172,293.686875,317.53394,331.031775,341.198493,345.503168,394.28035,446.7313195,456.5890895,511.4248695,519.8879295,527.8908945,539.0173945,570.1789245,654.0904915,655.9986015,664.3650895,666.8739735,713.4025465,728.9051945,745.6341615
"76",100.132615,113.562155,123.116785,160.951675,181.996239,188.254039,211.646669,221.095413,228.334931,237.859385,256.559409,301.1062375,317.5588975,335.2125875,353.5971385,357.1282765,413.3669255,449.0117175,453.5779105,512.403614,520.760884,532.046722,541.980674,569.663999,644.027552,644.961602,666.564034,670.719594,704.448779,722.980279,740.797972
"77",109.034942,124.635567,136.067115,179.907285,199.577701,208.344331,230.541001,237.592385,244.412786,251.231494,261.408446,301.280946,317.055816,326.301016,333.0986655,339.2310545,386.9937445,448.6433095,452.9529075,500.8641545,513.0262415,520.3399145,529.594032,572.830227,641.698542,646.856417,670.242367,671.556302,722.022932,747.572162,766.090972
"78",114.111524,127.183045,136.856825,192.150895,203.312345,206.828665,221.846205,234.338925,241.524674,245.884,254.56272,308.22355,323.159255,339.02622,349.334795,355.426121,406.382807,457.857045,461.491535,504.187883,508.891213,514.827171,529.065853,573.275563,646.407903,657.095393,680.959343,685.813952,728.941488,734.855514,762.36643
"79",112.062532,127.262267,148.200767,183.484657,197.334522,206.298532,223.298993,234.449767,239.518391,250.222467,257.989367,303.810227,318.407227,338.049352,347.9879455,349.8793885,393.6538635,445.222444,446.736288,506.183495,510.687222,519.549341,537.903121,568.376171,648.710475,654.248791,667.065225,670.59601,710.5687375,719.1270475,746.2667825
"80",107.583034,132.432794,151.630846,184.002804,209.398054,218.841314,232.7635611,234.2830885,237.6962005,242.9776525,253.0775375,290.777064,308.743619,337.49849575,342.04203375,346.56541575,402.07261475,458.17000725,461.68067425,531.23813025,534.63405325,541.26488025,553.57064925,582.57309925,653.19050075,660.82694075,674.40108975,676.19200775,729.05550075,740.99675075,771.62213175
